Season,Contestant,Age,Height,Hometown,Finish,Place
24,Liberty Netuschil,20,1.70 m (5 ft 7 in),"Lava Hot Springs, Idaho",Episode 6,10
24,Christina McDonald,34,1.73 m (5 ft 8 in),"Jenkintown, Pennsylvania",Episode 7,9
24,Sandra Shehab,22,1.70 m (5 ft 7 in),"Cliffside Park, New Jersey",Episode 8,8
24,Brendi K Seiner,22,1.78 m (5 ft 10 in),"Nashville, Tennessee",Episode 9,7 (quit)
24,Erin Green,42,1.75 m (5 ft 9 in),"Riverside, California",Episode 10,6
24,Rio Summers,23,1.78 m (5 ft 10 in),"Detroit, Michigan",Episode 13,5
24,Shanice Carroll,25,1.75 m (5 ft 9 in),"Murfreesboro, Tennessee",Episode 15,4
24,Khrystyana Kazakova,32,1.78 m (5 ft 10 in),"New York, New York",,3
24,Jeana Turner,24,1.70 m (5 ft 7 in),"Minneapolis, Minnesota",,2
24,Kyla Coleman,20,1.78 m (5 ft 10 in),"Lacey, Washington",,1
